                                                                                      |                                          -                                           |                                         int                                          |                                          ==                                          |                                          {                                           |                                          )                                           |                                        ident                                         |                                          =                                           |                                     int_constant                                     |                                          <=                                          |                                          !=                                          |                                          (                                           |                                          ;                                           |                                         read                                         |                                          $                                           |                                          ]                                           |                                          >=                                          |                                          }                                           |                                         else                                         |                                        return                                        |                                          /                                           |                                         for                                          |                                          +                                           |                                         def                                          |                                          ,                                           |                                          if                                          |                                   string_constant                                    |                                          >                                           |                                          <                                           |                                    float_constant                                    |                                        float                                         |                                        print                                         |                                         new                                          |                                          ∗                                           |                                          [                                           |                                        string                                        |                                        break                                         |                                         null                                         |                                          %                                           |
                                     FUNCLISTAUX                                      |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      FUNCLIST                                        |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                     PARAMLISTAUX                                     |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                    PLUS_OR_MINUS                                     |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                    OPT_STATELIST                                     |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      STATEMENT                                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                       OPT_ELSE                                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                     FUNCLISTAUX                                      |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                        REL_OP                                        |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                     EXPRESSION                                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      PARAMLIST                                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                    OPT_STATELIST                                     |                                         None                                         |                OPT_STATELIST  -> int ident OPT_VECTOR ; OPT_STATELIST                |                                         None                                         |                    OPT_STATELIST  -> { STATELIST } OPT_STATELIST                     |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                          OPT_STATELIST  -> ; OPT_STATELIST                           |                    OPT_STATELIST  -> read LVALUE ; OPT_STATELIST                     |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                       OPT_STATELIST  -> return ; OPT_STATELIST                       |                                         None                                         | OPT_STATELIST  -> for ( ATRIBSTAT ; EXPRESSION ; ATRIBSTAT ) STATEMENT OPT_STATELIST |                                         None                                         |                                         None                                         |                                         None                                         |         OPT_STATELIST  -> if ( EXPRESSION ) STATEMENT OPT_ELSE OPT_STATELIST         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |               OPT_STATELIST  -> float ident OPT_VECTOR ; OPT_STATELIST               |                  OPT_STATELIST  -> print EXPRESSION ; OPT_STATELIST                  |                                         None                                         |                                         None                                         |                                         None                                         |              OPT_STATELIST  -> string ident OPT_VECTOR ; OPT_STATELIST               |                       OPT_STATELIST  -> break ; OPT_STATELIST                        |                                         None                                         |                                         None                                         |
                                    PLUS_OR_MINUS                                     |                                 PLUS_OR_MINUS  -> -                                  |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                 PLUS_OR_MINUS  -> +                                  |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      STATELIST                                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
